,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_bootstrapped-lset-cora-GCN,TPR_bootstrapped-lset-cora-GCN
43,,,0.096,0.38
44,,,0.096,0.388
45,,,0.1,0.388
46,,,0.1,0.412
47,,,0.104,0.412
48,,,0.104,0.424
49,,,0.108,0.424
50,,,0.108,0.432
51,,,0.128,0.432
52,,,0.128,0.44
53,,,0.136,0.44
54,,,0.136,0.452
55,,,0.14,0.452
56,,,0.14,0.468
57,,,0.152,0.468
58,,,0.152,0.472
59,,,0.164,0.472
60,,,0.164,0.484
61,,,0.168,0.484
62,,,0.168,0.508
63,,,0.172,0.508
64,,,0.172,0.512
65,,,0.176,0.512
66,,,0.176,0.52
67,,,0.188,0.52
68,,,0.188,0.532
69,,,0.192,0.532
70,,,0.192,0.544
71,,,0.196,0.544
72,,,0.196,0.556
73,,,0.204,0.556
74,,,0.204,0.568
75,,,0.208,0.568
76,,,0.208,0.572
77,,,0.212,0.572
78,,,0.212,0.576
79,,,0.216,0.576
80,,,0.216,0.604
81,,,0.22,0.604
82,,,0.22,0.616
83,,,0.236,0.616
84,,,0.236,0.668
85,,,0.24,0.668
86,,,0.24,0.672
87,,,0.252,0.672
88,,,0.252,0.68
89,,,0.256,0.68
90,,,0.256,0.684
91,,,0.26,0.684
92,,,0.26,0.688
93,,,0.264,0.688
94,,,0.264,0.712
95,,,0.268,0.712
96,,,0.268,0.716
97,,,0.272,0.716
98,,,0.272,0.72
99,,,0.276,0.72
100,,,0.276,0.732
101,,,0.284,0.732
102,,,0.284,0.736
103,,,0.288,0.736
104,,,0.288,0.748
105,,,0.296,0.748
106,,,0.296,0.756
107,,,0.3,0.756
108,,,0.3,0.76
109,,,0.304,0.76
110,,,0.304,0.764
111,,,0.308,0.764
112,,,0.308,0.768
113,,,0.312,0.768
114,,,0.312,0.772
115,,,0.32,0.772
116,,,0.32,0.78
117,,,0.328,0.78
118,,,0.328,0.784
119,,,0.332,0.784
120,,,0.332,0.788
121,,,0.336,0.788
122,,,0.336,0.792
123,,,0.344,0.792
124,,,0.344,0.8
125,,,0.348,0.8
126,,,0.348,0.808
127,,,0.352,0.808
128,,,0.352,0.812
129,,,0.356,0.812
130,,,0.356,0.824
131,,,0.36,0.824
132,,,0.36,0.828
133,,,0.368,0.828
134,,,0.368,0.832
135,,,0.392,0.832
136,,,0.392,0.844
137,,,0.396,0.844
138,,,0.396,0.856
139,,,0.404,0.856
140,,,0.404,0.864
141,,,0.424,0.864
142,,,0.424,0.868
143,,,0.432,0.868
144,,,0.432,0.872
145,,,0.436,0.872
146,,,0.436,0.88
147,,,0.44,0.88
148,,,0.44,0.892
149,,,0.456,0.892
150,,,0.456,0.896
151,,,0.496,0.896
152,,,0.496,0.9
153,,,0.5,0.9
154,,,0.5,0.904
155,,,0.516,0.904
156,,,0.516,0.908
157,,,0.52,0.908
158,,,0.52,0.912
159,,,0.524,0.912
160,,,0.524,0.916
161,,,0.532,0.916
162,,,0.532,0.92
163,,,0.584,0.92
164,,,0.584,0.924
165,,,0.6,0.924
166,,,0.6,0.928
167,,,0.62,0.928
168,,,0.62,0.932
169,,,0.632,0.932
170,,,0.632,0.936
171,,,0.656,0.936
172,,,0.656,0.94
173,,,0.672,0.94
174,,,0.672,0.948
175,,,0.696,0.948
176,,,0.696,0.952
177,,,0.724,0.952
178,,,0.724,0.956
179,,,0.728,0.956
180,,,0.728,0.964
181,,,0.764,0.964
182,,,0.764,0.976
183,,,0.796,0.976
184,,,0.796,0.98
185,,,0.816,0.98
186,,,0.816,0.984
187,,,0.944,0.984
188,,,0.944,0.988
189,,,0.96,0.988
190,,,0.96,0.992
191,,,0.992,0.992
192,,,0.992,1.0
193,,,1.0,1.0
