,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9628 (0.0000),0.8750 (0.0000),0.5074 (0.0000),0.0152 (0.0000),-0.0028 (0.0000),0.0020 (0.0000),0.0033 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9628 (0.0000),0.8750 (0.0000),0.5026 (0.0000),0.0107 (0.0000),0.1642 (0.0000),0.0020 (0.0000),0.2444 (0.0000)
pubmed-GraphSAGE_lira,0.9628 (0.0000),0.8750 (0.0000),0.5713 (0.0000),0.0330 (0.0000),1.1789 (0.0000),0.0081 (0.0000),2.2057 (0.0000)
pubmed-GraphSAGE_rmia,0.9628 (0.0000),0.8750 (0.0000),0.5797 (0.0000),0.0396 (0.0000),0.9391 (0.0000),0.0056 (0.0000),0.9791 (0.0000)
pubmed-GraphSAGE_lset,0.9628 (0.0000),0.8750 (0.0000),0.5797 (0.0000),0.0396 (0.0000),0.5916 (0.0000),0.0056 (0.0000),0.6955 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9628 (0.0000),0.8750 (0.0000),0.6535 (0.0000),0.0736 (0.0000),0.5658 (0.0000),0.0127 (0.0000),0.6615 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9628 (0.0000),0.8750 (0.0000),0.5698 (0.0000),0.0269 (0.0000),-0.0107 (0.0000),0.0041 (0.0000),-0.0010 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9628 (0.0000),0.8750 (0.0000),0.5791 (0.0000),0.0350 (0.0000),0.9540 (0.0000),0.0041 (0.0000),0.9872 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9628 (0.0000),0.8750 (0.0000),0.5769 (0.0000),0.0370 (0.0000),0.6233 (0.0000),0.0046 (0.0000),0.7559 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9628 (0.0000),0.8750 (0.0000),0.6535 (0.0000),0.0599 (0.0000),0.6215 (0.0000),0.0137 (0.0000),0.7607 (0.0000)
