,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_bootstrapped-lset-cora-GCN,TPR_bootstrapped-lset-cora-GCN,FPR_bootstrapped-lset-mp-cora-GCN,TPR_bootstrapped-lset-mp-cora-GCN
8,,,0.012,0.14,,
9,,,0.024,0.14,,
10,,,0.024,0.144,,
11,,,0.028,0.144,,
12,,,0.028,0.156,,
13,,,0.032,0.156,,
14,,,0.032,0.196,,
15,,,0.036,0.196,,
16,,,0.036,0.2,,
17,,,0.04,0.2,,
18,,,0.04,0.204,,
19,,,0.044,0.204,,
20,,,0.044,0.208,,
21,,,0.048,0.208,,
22,,,0.048,0.24,,
23,,,0.056,0.24,,
24,,,0.056,0.244,,
25,,,0.06,0.244,,
26,,,0.06,0.248,,
27,,,0.068,0.248,,
28,,,0.068,0.264,,
29,,,0.08,0.264,,
30,,,0.08,0.272,,
31,,,0.084,0.272,,
32,,,0.084,0.28,,
33,,,0.092,0.28,,
34,,,0.092,0.296,,
35,,,0.1,0.296,,
36,,,0.1,0.3,,
37,,,0.104,0.3,,
38,,,0.104,0.308,,
39,,,0.108,0.308,,
40,,,0.108,0.332,,
41,,,0.112,0.332,,
42,,,0.112,0.348,,
43,,,0.116,0.348,,
44,,,0.116,0.36,,
45,,,0.132,0.36,,
46,,,0.132,0.38,,
47,,,0.136,0.38,,
48,,,0.136,0.388,,
49,,,0.144,0.388,,
50,,,0.144,0.404,,
51,,,0.16,0.404,,
52,,,0.16,0.432,,
53,,,0.164,0.432,,
54,,,0.164,0.44,,
55,,,0.168,0.44,,
56,,,0.168,0.444,,
57,,,0.172,0.444,,
58,,,0.172,0.456,,
59,,,0.176,0.456,,
60,,,0.176,0.464,,
61,,,0.18,0.464,,
62,,,0.18,0.492,,
63,,,0.188,0.492,,
64,,,0.188,0.496,,
65,,,0.192,0.496,,
66,,,0.192,0.504,,
67,,,0.196,0.504,,
68,,,0.196,0.516,,
69,,,0.204,0.516,,
70,,,0.204,0.54,,
71,,,0.208,0.54,,
72,,,0.208,0.56,,
73,,,0.212,0.56,,
74,,,0.212,0.564,,
75,,,0.22,0.564,,
76,,,0.22,0.568,,
77,,,0.224,0.568,,
78,,,0.224,0.572,,
79,,,0.228,0.572,,
80,,,0.228,0.584,,
81,,,0.232,0.584,,
82,,,0.232,0.588,,
83,,,0.236,0.588,,
84,,,0.236,0.608,,
85,,,0.24,0.608,,
86,,,0.24,0.624,,
87,,,0.244,0.624,,
88,,,0.244,0.628,,
89,,,0.248,0.628,,
90,,,0.248,0.636,,
91,,,0.252,0.636,,
92,,,0.252,0.644,,
93,,,0.26,0.644,,
94,,,0.26,0.672,,
95,,,0.264,0.672,,
96,,,0.264,0.708,,
97,,,0.268,0.708,,
98,,,0.268,0.712,,
99,,,0.272,0.712,,
100,,,0.272,0.716,,
101,,,0.276,0.716,,
102,,,0.276,0.736,,
103,,,0.288,0.736,,
104,,,0.288,0.744,,
105,,,0.292,0.744,,
106,,,0.292,0.748,,
107,,,0.296,0.748,,
108,,,0.296,0.752,,
109,,,0.304,0.752,,
110,,,0.304,0.756,,
111,,,0.308,0.756,,
112,,,0.308,0.76,,
113,,,0.316,0.76,,
114,,,0.316,0.764,,
115,,,0.32,0.764,,
116,,,0.32,0.768,,
117,,,0.324,0.768,,
118,,,0.324,0.784,,
119,,,0.336,0.784,,
120,,,0.336,0.796,,
121,,,0.34,0.796,,
122,,,0.34,0.8,,
123,,,0.36,0.8,,
124,,,0.36,0.804,,
125,,,0.364,0.804,,
126,,,0.364,0.812,,
127,,,0.368,0.812,,
128,,,0.368,0.824,,
129,,,0.372,0.824,,
130,,,0.372,0.828,,
131,,,0.38,0.828,,
132,,,0.38,0.832,,
133,,,0.392,0.832,,
134,,,0.392,0.836,,
135,,,0.404,0.836,,
136,,,0.404,0.844,,
137,,,0.412,0.844,,
138,,,0.412,0.852,,
139,,,0.42,0.852,,
140,,,0.42,0.856,,
141,,,0.424,0.856,,
142,,,0.424,0.86,,
143,,,0.432,0.86,,
144,,,0.432,0.868,,
145,,,0.436,0.868,,
146,,,0.436,0.872,,
147,,,0.456,0.872,,
148,,,0.456,0.88,,
149,,,0.476,0.88,,
150,,,0.476,0.884,,
151,,,0.484,0.884,,
152,,,0.484,0.888,,
153,,,0.492,0.888,,
154,,,0.492,0.892,,
155,,,0.496,0.892,,
156,,,0.496,0.896,,
157,,,0.524,0.896,,
158,,,0.524,0.9,,
159,,,0.536,0.9,,
160,,,0.536,0.904,,
161,,,0.584,0.904,,
162,,,0.584,0.908,,
163,,,0.592,0.908,,
164,,,0.592,0.916,,
165,,,0.62,0.916,,
166,,,0.62,0.92,,
167,,,0.632,0.92,,
168,,,0.632,0.924,,
169,,,0.636,0.924,,
170,,,0.636,0.928,,
171,,,0.664,0.928,,
172,,,0.664,0.932,,
173,,,0.68,0.932,,
174,,,0.68,0.936,,
175,,,0.716,0.936,,
176,,,0.716,0.944,,
177,,,0.736,0.944,,
178,,,0.736,0.948,,
179,,,0.74,0.948,,
180,,,0.74,0.952,,
181,,,0.748,0.952,,
182,,,0.748,0.956,,
183,,,0.76,0.956,,
184,,,0.76,0.96,,
185,,,0.776,0.96,,
186,,,0.776,0.968,,
187,,,0.796,0.968,,
188,,,0.796,0.972,,
189,,,0.812,0.972,,
190,,,0.812,0.976,,
191,,,0.832,0.976,,
192,,,0.832,0.98,,
193,,,0.84,0.98,,
194,,,0.84,0.984,,
195,,,0.9,0.984,,
196,,,0.9,0.988,,
197,,,0.968,0.988,,
198,,,0.968,0.996,,
199,,,0.976,0.996,,
200,,,0.976,1.0,,
201,,,1.0,1.0,,
0,,,,,0.0,0.0
1,,,,,1.0,1.0
