,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9598 (0.0000),0.8690 (0.0000),0.4949 (0.0000),0.0101 (0.0000),0.0313 (0.0000),0.0015 (0.0000),0.0376 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9598 (0.0000),0.8690 (0.0000),0.5107 (0.0000),0.0152 (0.0000),0.1442 (0.0000),0.0010 (0.0000),0.3039 (0.0000)
pubmed-GraphSAGE_lira,0.9598 (0.0000),0.8690 (0.0000),0.5642 (0.0000),0.0284 (0.0000),1.2602 (0.0000),0.0091 (0.0000),2.5614 (0.0000)
pubmed-GraphSAGE_rmia,0.9598 (0.0000),0.8690 (0.0000),0.5658 (0.0000),0.0264 (0.0000),0.9455 (0.0000),0.0076 (0.0000),0.9759 (0.0000)
pubmed-GraphSAGE_lset,0.9598 (0.0000),0.8690 (0.0000),0.5658 (0.0000),0.0264 (0.0000),0.6003 (0.0000),0.0076 (0.0000),0.6817 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9598 (0.0000),0.8690 (0.0000),0.6256 (0.0000),0.0629 (0.0000),0.5761 (0.0000),0.0010 (0.0000),0.7231 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9598 (0.0000),0.8690 (0.0000),0.5514 (0.0000),0.0198 (0.0000),-0.0083 (0.0000),0.0030 (0.0000),-0.0003 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9598 (0.0000),0.8690 (0.0000),0.5636 (0.0000),0.0269 (0.0000),0.9665 (0.0000),0.0086 (0.0000),0.9874 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9598 (0.0000),0.8690 (0.0000),0.5625 (0.0000),0.0269 (0.0000),0.6320 (0.0000),0.0076 (0.0000),0.7323 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9598 (0.0000),0.8690 (0.0000),0.6381 (0.0000),0.0639 (0.0000),0.6215 (0.0000),0.0091 (0.0000),0.8007 (0.0000)
