,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9663 (0.0000),0.8684 (0.0000),0.5235 (0.0000),0.0112 (0.0000),0.0562 (0.0000),0.0020 (0.0000),0.0606 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9663 (0.0000),0.8684 (0.0000),0.5315 (0.0000),0.0081 (0.0000),0.0755 (0.0000),0.0005 (0.0000),0.3169 (0.0000)
pubmed-GraphSAGE_lira,0.9663 (0.0000),0.8684 (0.0000),0.5856 (0.0000),0.0335 (0.0000),1.1491 (0.0000),0.0112 (0.0000),2.3630 (0.0000)
pubmed-GraphSAGE_rmia,0.9663 (0.0000),0.8684 (0.0000),0.5886 (0.0000),0.0381 (0.0000),0.9410 (0.0000),0.0061 (0.0000),0.9799 (0.0000)
pubmed-GraphSAGE_lset,0.9663 (0.0000),0.8684 (0.0000),0.5886 (0.0000),0.0381 (0.0000),0.5972 (0.0000),0.0061 (0.0000),0.7057 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9663 (0.0000),0.8684 (0.0000),0.6331 (0.0000),0.0502 (0.0000),0.5856 (0.0000),0.0137 (0.0000),0.6398 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9663 (0.0000),0.8684 (0.0000),0.5724 (0.0000),0.0238 (0.0000),-0.0104 (0.0000),0.0025 (0.0000),-0.0005 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9663 (0.0000),0.8684 (0.0000),0.5852 (0.0000),0.0386 (0.0000),0.9529 (0.0000),0.0091 (0.0000),0.9838 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9663 (0.0000),0.8684 (0.0000),0.5871 (0.0000),0.0391 (0.0000),0.5943 (0.0000),0.0091 (0.0000),0.7135 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9663 (0.0000),0.8684 (0.0000),0.6394 (0.0000),0.0665 (0.0000),0.6159 (0.0000),0.0188 (0.0000),0.7072 (0.0000)
