,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9643 (0.0000),0.8742 (0.0000),0.5162 (0.0000),0.0127 (0.0000),0.0158 (0.0000),0.0000 (0.0000),0.0294 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9643 (0.0000),0.8742 (0.0000),0.5160 (0.0000),0.0117 (0.0000),0.0879 (0.0000),0.0010 (0.0000),0.1674 (0.0000)
pubmed-GraphSAGE_lira,0.9643 (0.0000),0.8742 (0.0000),0.5611 (0.0000),0.0375 (0.0000),1.0510 (0.0000),0.0081 (0.0000),2.5204 (0.0000)
pubmed-GraphSAGE_rmia,0.9643 (0.0000),0.8742 (0.0000),0.5705 (0.0000),0.0309 (0.0000),0.9449 (0.0000),0.0046 (0.0000),0.9797 (0.0000)
pubmed-GraphSAGE_lset,0.9643 (0.0000),0.8742 (0.0000),0.5705 (0.0000),0.0309 (0.0000),0.6037 (0.0000),0.0046 (0.0000),0.7070 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9643 (0.0000),0.8742 (0.0000),0.6292 (0.0000),0.0482 (0.0000),0.5778 (0.0000),0.0188 (0.0000),0.6291 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9643 (0.0000),0.8742 (0.0000),0.5642 (0.0000),0.0299 (0.0000),-0.0137 (0.0000),0.0046 (0.0000),-0.0006 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9643 (0.0000),0.8742 (0.0000),0.5702 (0.0000),0.0330 (0.0000),0.9645 (0.0000),0.0137 (0.0000),0.9832 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9643 (0.0000),0.8742 (0.0000),0.5739 (0.0000),0.0309 (0.0000),0.5907 (0.0000),0.0107 (0.0000),0.6735 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9643 (0.0000),0.8742 (0.0000),0.6325 (0.0000),0.0654 (0.0000),0.6159 (0.0000),0.0228 (0.0000),0.7206 (0.0000)
