,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9625 (0.0000),0.8760 (0.0000),0.4958 (0.0000),0.0152 (0.0000),0.0421 (0.0000),0.0000 (0.0000),0.0651 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9625 (0.0000),0.8760 (0.0000),0.5014 (0.0000),0.0147 (0.0000),0.0861 (0.0000),0.0005 (0.0000),0.3649 (0.0000)
pubmed-GraphSAGE_lira,0.9625 (0.0000),0.8760 (0.0000),0.5638 (0.0000),0.0375 (0.0000),0.9860 (0.0000),0.0208 (0.0000),1.5081 (0.0000)
pubmed-GraphSAGE_rmia,0.9625 (0.0000),0.8760 (0.0000),0.5818 (0.0000),0.0426 (0.0000),0.9357 (0.0000),0.0096 (0.0000),0.9715 (0.0000)
pubmed-GraphSAGE_lset,0.9625 (0.0000),0.8760 (0.0000),0.5818 (0.0000),0.0426 (0.0000),0.5869 (0.0000),0.0096 (0.0000),0.6647 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9625 (0.0000),0.8760 (0.0000),0.6325 (0.0000),0.0690 (0.0000),0.5686 (0.0000),0.0244 (0.0000),0.6144 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9625 (0.0000),0.8760 (0.0000),0.5708 (0.0000),0.0274 (0.0000),-0.0173 (0.0000),0.0030 (0.0000),-0.0014 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9625 (0.0000),0.8760 (0.0000),0.5851 (0.0000),0.0457 (0.0000),0.9541 (0.0000),0.0137 (0.0000),0.9804 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9625 (0.0000),0.8760 (0.0000),0.5875 (0.0000),0.0446 (0.0000),0.5887 (0.0000),0.0127 (0.0000),0.6713 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9625 (0.0000),0.8760 (0.0000),0.6413 (0.0000),0.0812 (0.0000),0.6030 (0.0000),0.0457 (0.0000),0.6563 (0.0000)
