,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9610 (0.0000),0.8736 (0.0000),0.5046 (0.0000),0.0071 (0.0000),0.0518 (0.0000),0.0005 (0.0000),0.0564 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9610 (0.0000),0.8736 (0.0000),0.5086 (0.0000),0.0101 (0.0000),0.1556 (0.0000),0.0010 (0.0000),0.2489 (0.0000)
pubmed-GraphSAGE_lira,0.9610 (0.0000),0.8736 (0.0000),0.5693 (0.0000),0.0375 (0.0000),1.1185 (0.0000),0.0127 (0.0000),2.2566 (0.0000)
pubmed-GraphSAGE_rmia,0.9610 (0.0000),0.8736 (0.0000),0.5746 (0.0000),0.0355 (0.0000),0.9450 (0.0000),0.0051 (0.0000),0.9811 (0.0000)
pubmed-GraphSAGE_lset,0.9610 (0.0000),0.8736 (0.0000),0.5746 (0.0000),0.0355 (0.0000),0.6026 (0.0000),0.0051 (0.0000),0.7171 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9610 (0.0000),0.8736 (0.0000),0.6467 (0.0000),0.0482 (0.0000),0.5823 (0.0000),0.0066 (0.0000),0.6680 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9610 (0.0000),0.8736 (0.0000),0.5524 (0.0000),0.0320 (0.0000),-0.0197 (0.0000),0.0091 (0.0000),-0.0033 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9610 (0.0000),0.8736 (0.0000),0.5662 (0.0000),0.0325 (0.0000),0.9616 (0.0000),0.0112 (0.0000),0.9853 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9610 (0.0000),0.8736 (0.0000),0.5776 (0.0000),0.0345 (0.0000),0.6006 (0.0000),0.0107 (0.0000),0.6935 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9610 (0.0000),0.8736 (0.0000),0.6510 (0.0000),0.0736 (0.0000),0.6099 (0.0000),0.0213 (0.0000),0.7188 (0.0000)
