,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9615 (0.0000),0.8757 (0.0000),0.5056 (0.0000),0.0046 (0.0000),0.0549 (0.0000),0.0005 (0.0000),0.0641 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9615 (0.0000),0.8757 (0.0000),0.5283 (0.0000),0.0137 (0.0000),0.1137 (0.0000),0.0020 (0.0000),0.1966 (0.0000)
pubmed-GraphSAGE_lira,0.9615 (0.0000),0.8757 (0.0000),0.5617 (0.0000),0.0264 (0.0000),1.1221 (0.0000),0.0117 (0.0000),1.9081 (0.0000)
pubmed-GraphSAGE_rmia,0.9615 (0.0000),0.8757 (0.0000),0.5635 (0.0000),0.0294 (0.0000),0.9431 (0.0000),0.0101 (0.0000),0.9691 (0.0000)
pubmed-GraphSAGE_lset,0.9615 (0.0000),0.8757 (0.0000),0.5635 (0.0000),0.0294 (0.0000),0.5987 (0.0000),0.0101 (0.0000),0.6572 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9615 (0.0000),0.8757 (0.0000),0.6254 (0.0000),0.0452 (0.0000),0.5858 (0.0000),0.0132 (0.0000),0.6413 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9615 (0.0000),0.8757 (0.0000),0.5508 (0.0000),0.0193 (0.0000),-0.0128 (0.0000),0.0036 (0.0000),-0.0010 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9615 (0.0000),0.8757 (0.0000),0.5618 (0.0000),0.0284 (0.0000),0.9560 (0.0000),0.0091 (0.0000),0.9787 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9615 (0.0000),0.8757 (0.0000),0.5538 (0.0000),0.0294 (0.0000),0.5811 (0.0000),0.0091 (0.0000),0.6485 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9615 (0.0000),0.8757 (0.0000),0.6233 (0.0000),0.0512 (0.0000),0.6341 (0.0000),0.0218 (0.0000),0.7121 (0.0000)
