,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_bootstrapped-lset-cora-GCN,TPR_bootstrapped-lset-cora-GCN,FPR_bayes-optimal-cora-GCN-MCMC,TPR_bayes-optimal-cora-GCN-MCMC
8,,,0.016,0.132,,
9,,,0.024,0.132,,
10,,,0.024,0.184,,
11,,,0.028,0.184,,
12,,,0.028,0.196,,
13,,,0.036,0.196,,
14,,,0.036,0.2,,
15,,,0.04,0.2,,
16,,,0.04,0.26,,
17,,,0.044,0.26,,
18,,,0.044,0.264,,
19,,,0.048,0.264,,
20,,,0.048,0.268,,
21,,,0.056,0.268,,
22,,,0.056,0.272,,
23,,,0.06,0.272,,
24,,,0.06,0.284,,
25,,,0.068,0.284,,
26,,,0.068,0.324,,
27,,,0.072,0.324,,
28,,,0.072,0.356,,
29,,,0.076,0.356,,
30,,,0.076,0.4,,
31,,,0.084,0.4,,
32,,,0.084,0.416,,
33,,,0.088,0.416,,
34,,,0.088,0.424,,
35,,,0.092,0.424,,
36,,,0.092,0.428,,
37,,,0.1,0.428,,
38,,,0.1,0.432,,
39,,,0.104,0.432,,
40,,,0.104,0.436,,
41,,,0.108,0.436,,
42,,,0.108,0.44,,
43,,,0.112,0.44,,
44,,,0.112,0.464,,
45,,,0.116,0.464,,
46,,,0.116,0.476,,
47,,,0.124,0.476,,
48,,,0.124,0.48,,
49,,,0.128,0.48,,
50,,,0.128,0.496,,
51,,,0.136,0.496,,
52,,,0.136,0.512,,
53,,,0.14,0.512,,
54,,,0.14,0.516,,
55,,,0.148,0.516,,
56,,,0.148,0.52,,
57,,,0.152,0.52,,
58,,,0.152,0.528,,
59,,,0.156,0.528,,
60,,,0.156,0.544,,
61,,,0.16,0.544,,
62,,,0.16,0.548,,
63,,,0.168,0.548,,
64,,,0.168,0.552,,
65,,,0.172,0.552,,
66,,,0.172,0.564,,
67,,,0.188,0.564,,
68,,,0.188,0.568,,
69,,,0.192,0.568,,
70,,,0.192,0.572,,
71,,,0.2,0.572,,
72,,,0.2,0.588,,
73,,,0.208,0.588,,
74,,,0.208,0.612,,
75,,,0.22,0.612,,
76,,,0.22,0.624,,
77,,,0.224,0.624,,
78,,,0.224,0.632,,
79,,,0.228,0.632,,
80,,,0.228,0.64,,
81,,,0.232,0.64,,
82,,,0.232,0.648,,
83,,,0.236,0.648,,
84,,,0.236,0.656,,
85,,,0.24,0.656,,
86,,,0.24,0.664,,
87,,,0.248,0.664,,
88,,,0.248,0.672,,
89,,,0.256,0.672,,
90,,,0.256,0.68,,
91,,,0.26,0.68,,
92,,,0.26,0.688,,
93,,,0.264,0.688,,
94,,,0.264,0.7,,
95,,,0.268,0.7,,
96,,,0.268,0.708,,
97,,,0.272,0.708,,
98,,,0.272,0.72,,
99,,,0.276,0.72,,
100,,,0.276,0.728,,
101,,,0.28,0.728,,
102,,,0.28,0.736,,
103,,,0.308,0.736,,
104,,,0.308,0.74,,
105,,,0.312,0.74,,
106,,,0.312,0.744,,
107,,,0.316,0.744,,
108,,,0.316,0.748,,
109,,,0.32,0.748,,
110,,,0.32,0.752,,
111,,,0.324,0.752,,
112,,,0.324,0.756,,
113,,,0.332,0.756,,
114,,,0.332,0.772,,
115,,,0.336,0.772,,
116,,,0.336,0.792,,
117,,,0.34,0.792,,
118,,,0.34,0.8,,
119,,,0.352,0.8,,
120,,,0.352,0.808,,
121,,,0.356,0.808,,
122,,,0.356,0.812,,
123,,,0.376,0.812,,
124,,,0.376,0.816,,
125,,,0.396,0.816,,
126,,,0.396,0.82,,
127,,,0.4,0.82,,
128,,,0.4,0.824,,
129,,,0.404,0.824,,
130,,,0.404,0.832,,
131,,,0.408,0.832,,
132,,,0.408,0.836,,
133,,,0.412,0.836,,
134,,,0.412,0.86,,
135,,,0.42,0.86,,
136,,,0.42,0.864,,
137,,,0.424,0.864,,
138,,,0.424,0.872,,
139,,,0.428,0.872,,
140,,,0.428,0.876,,
141,,,0.436,0.876,,
142,,,0.436,0.88,,
143,,,0.452,0.88,,
144,,,0.452,0.884,,
145,,,0.456,0.884,,
146,,,0.456,0.888,,
147,,,0.46,0.888,,
148,,,0.46,0.892,,
149,,,0.5,0.892,,
150,,,0.5,0.904,,
151,,,0.544,0.904,,
152,,,0.544,0.912,,
153,,,0.572,0.912,,
154,,,0.572,0.916,,
155,,,0.588,0.916,,
156,,,0.588,0.924,,
157,,,0.592,0.924,,
158,,,0.592,0.928,,
159,,,0.632,0.928,,
160,,,0.632,0.932,,
161,,,0.68,0.932,,
162,,,0.68,0.94,,
163,,,0.684,0.94,,
164,,,0.684,0.944,,
165,,,0.708,0.944,,
166,,,0.708,0.956,,
167,,,0.748,0.956,,
168,,,0.748,0.96,,
169,,,0.756,0.96,,
170,,,0.756,0.964,,
171,,,0.768,0.964,,
172,,,0.768,0.968,,
173,,,0.78,0.968,,
174,,,0.78,0.972,,
175,,,0.82,0.972,,
176,,,0.82,0.976,,
177,,,0.824,0.976,,
178,,,0.824,0.98,,
179,,,0.836,0.98,,
180,,,0.836,0.984,,
181,,,0.948,0.984,,
182,,,0.948,0.988,,
183,,,0.984,0.988,,
184,,,0.984,0.992,,
185,,,0.992,0.992,,
186,,,0.992,1.0,,
187,,,1.0,1.0,,
0,,,,,0.0,0.0
1,,,,,0.0,0.004
2,,,,,0.0,0.068
3,,,,,0.004,0.068
4,,,,,0.004,0.072
5,,,,,0.008,0.072
6,,,,,0.008,0.112
7,,,,,0.012,0.112
8,,,,,0.012,0.12
9,,,,,0.02,0.12
10,,,,,0.02,0.148
11,,,,,0.024,0.148
12,,,,,0.024,0.172
13,,,,,0.028,0.172
14,,,,,0.028,0.176
15,,,,,0.04,0.176
16,,,,,0.04,0.18
17,,,,,0.044,0.18
18,,,,,0.044,0.224
19,,,,,0.048,0.224
20,,,,,0.048,0.24
21,,,,,0.056,0.24
22,,,,,0.056,0.252
23,,,,,0.06,0.252
24,,,,,0.06,0.256
25,,,,,0.064,0.256
26,,,,,0.064,0.264
27,,,,,0.068,0.264
28,,,,,0.068,0.296
29,,,,,0.072,0.296
30,,,,,0.072,0.332
31,,,,,0.076,0.332
32,,,,,0.076,0.34
33,,,,,0.08,0.34
34,,,,,0.08,0.364
35,,,,,0.084,0.364
36,,,,,0.084,0.376
37,,,,,0.088,0.376
38,,,,,0.088,0.384
39,,,,,0.092,0.384
40,,,,,0.092,0.4
41,,,,,0.104,0.4
42,,,,,0.104,0.424
43,,,,,0.108,0.424
44,,,,,0.108,0.46
45,,,,,0.116,0.46
46,,,,,0.116,0.468
47,,,,,0.12,0.468
48,,,,,0.12,0.484
49,,,,,0.132,0.484
50,,,,,0.132,0.488
51,,,,,0.136,0.488
52,,,,,0.136,0.504
53,,,,,0.14,0.504
54,,,,,0.14,0.524
55,,,,,0.148,0.524
56,,,,,0.148,0.532
57,,,,,0.156,0.532
58,,,,,0.156,0.56
59,,,,,0.16,0.56
60,,,,,0.16,0.564
61,,,,,0.164,0.564
62,,,,,0.164,0.592
63,,,,,0.168,0.592
64,,,,,0.168,0.596
65,,,,,0.18,0.596
66,,,,,0.18,0.6
67,,,,,0.184,0.6
68,,,,,0.184,0.604
69,,,,,0.204,0.604
70,,,,,0.204,0.616
71,,,,,0.216,0.616
72,,,,,0.216,0.62
73,,,,,0.22,0.62
74,,,,,0.22,0.624
75,,,,,0.228,0.624
76,,,,,0.228,0.644
77,,,,,0.232,0.644
78,,,,,0.232,0.652
79,,,,,0.24,0.652
80,,,,,0.24,0.656
81,,,,,0.244,0.656
82,,,,,0.244,0.668
83,,,,,0.248,0.668
84,,,,,0.248,0.68
85,,,,,0.252,0.68
86,,,,,0.252,0.688
87,,,,,0.256,0.688
88,,,,,0.256,0.7
89,,,,,0.26,0.7
90,,,,,0.26,0.712
91,,,,,0.264,0.712
92,,,,,0.264,0.728
93,,,,,0.268,0.728
94,,,,,0.268,0.752
95,,,,,0.276,0.752
96,,,,,0.276,0.756
97,,,,,0.28,0.756
98,,,,,0.28,0.772
99,,,,,0.284,0.772
100,,,,,0.284,0.776
101,,,,,0.288,0.776
102,,,,,0.288,0.78
103,,,,,0.296,0.78
104,,,,,0.296,0.788
105,,,,,0.308,0.788
106,,,,,0.308,0.792
107,,,,,0.312,0.792
108,,,,,0.312,0.804
109,,,,,0.316,0.804
110,,,,,0.316,0.808
111,,,,,0.324,0.808
112,,,,,0.324,0.812
113,,,,,0.328,0.812
114,,,,,0.328,0.816
115,,,,,0.336,0.816
116,,,,,0.336,0.82
117,,,,,0.344,0.82
118,,,,,0.344,0.824
119,,,,,0.348,0.824
120,,,,,0.348,0.828
121,,,,,0.356,0.828
122,,,,,0.356,0.832
123,,,,,0.384,0.832
124,,,,,0.384,0.84
125,,,,,0.392,0.84
126,,,,,0.392,0.844
127,,,,,0.396,0.844
128,,,,,0.396,0.848
129,,,,,0.412,0.848
130,,,,,0.412,0.852
131,,,,,0.42,0.852
132,,,,,0.42,0.872
133,,,,,0.428,0.872
134,,,,,0.428,0.88
135,,,,,0.46,0.88
136,,,,,0.46,0.884
137,,,,,0.48,0.884
138,,,,,0.48,0.892
139,,,,,0.484,0.892
140,,,,,0.484,0.896
141,,,,,0.492,0.896
142,,,,,0.492,0.9
143,,,,,0.496,0.9
144,,,,,0.496,0.904
145,,,,,0.52,0.904
146,,,,,0.52,0.908
147,,,,,0.54,0.908
148,,,,,0.54,0.912
149,,,,,0.572,0.912
150,,,,,0.572,0.916
151,,,,,0.576,0.916
152,,,,,0.576,0.92
153,,,,,0.592,0.92
154,,,,,0.592,0.932
155,,,,,0.596,0.932
156,,,,,0.596,0.936
157,,,,,0.612,0.936
158,,,,,0.612,0.94
159,,,,,0.62,0.94
160,,,,,0.62,0.944
161,,,,,0.668,0.944
162,,,,,0.668,0.948
163,,,,,0.676,0.948
164,,,,,0.676,0.952
165,,,,,0.732,0.952
166,,,,,0.732,0.956
167,,,,,0.736,0.956
168,,,,,0.736,0.96
169,,,,,0.744,0.96
170,,,,,0.744,0.964
171,,,,,0.816,0.964
172,,,,,0.816,0.968
173,,,,,0.872,0.968
174,,,,,0.872,0.972
175,,,,,0.896,0.972
176,,,,,0.896,0.976
177,,,,,0.912,0.976
178,,,,,0.912,0.98
179,,,,,0.924,0.98
180,,,,,0.924,0.984
181,,,,,0.964,0.984
182,,,,,0.964,0.996
183,,,,,0.992,0.996
184,,,,,0.992,1.0
185,,,,,1.0,1.0
