,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_bootstrapped-lset-cora-GCN,TPR_bootstrapped-lset-cora-GCN
43,,,0.108,0.412
44,,,0.108,0.416
45,,,0.112,0.416
46,,,0.112,0.42
47,,,0.116,0.42
48,,,0.116,0.424
49,,,0.12,0.424
50,,,0.12,0.432
51,,,0.124,0.432
52,,,0.124,0.44
53,,,0.136,0.44
54,,,0.136,0.444
55,,,0.144,0.444
56,,,0.144,0.46
57,,,0.152,0.46
58,,,0.152,0.476
59,,,0.16,0.476
60,,,0.16,0.484
61,,,0.164,0.484
62,,,0.164,0.488
63,,,0.176,0.488
64,,,0.176,0.504
65,,,0.188,0.504
66,,,0.188,0.524
67,,,0.192,0.524
68,,,0.192,0.536
69,,,0.2,0.536
70,,,0.2,0.556
71,,,0.204,0.556
72,,,0.204,0.56
73,,,0.208,0.56
74,,,0.208,0.576
75,,,0.212,0.576
76,,,0.212,0.58
77,,,0.22,0.58
78,,,0.22,0.6
79,,,0.224,0.6
80,,,0.224,0.616
81,,,0.236,0.616
82,,,0.236,0.62
83,,,0.244,0.62
84,,,0.244,0.664
85,,,0.252,0.664
86,,,0.252,0.68
87,,,0.256,0.68
88,,,0.256,0.688
89,,,0.264,0.688
90,,,0.264,0.704
91,,,0.268,0.704
92,,,0.268,0.708
93,,,0.272,0.708
94,,,0.272,0.716
95,,,0.28,0.716
96,,,0.28,0.72
97,,,0.284,0.72
98,,,0.284,0.728
99,,,0.288,0.728
100,,,0.288,0.74
101,,,0.292,0.74
102,,,0.292,0.752
103,,,0.296,0.752
104,,,0.296,0.76
105,,,0.308,0.76
106,,,0.308,0.772
107,,,0.312,0.772
108,,,0.312,0.788
109,,,0.32,0.788
110,,,0.32,0.792
111,,,0.336,0.792
112,,,0.336,0.8
113,,,0.348,0.8
114,,,0.348,0.82
115,,,0.352,0.82
116,,,0.352,0.824
117,,,0.36,0.824
118,,,0.36,0.828
119,,,0.372,0.828
120,,,0.372,0.832
121,,,0.384,0.832
122,,,0.384,0.836
123,,,0.388,0.836
124,,,0.388,0.844
125,,,0.392,0.844
126,,,0.392,0.848
127,,,0.412,0.848
128,,,0.412,0.864
129,,,0.416,0.864
130,,,0.416,0.868
131,,,0.432,0.868
132,,,0.432,0.872
133,,,0.436,0.872
134,,,0.436,0.888
135,,,0.444,0.888
136,,,0.444,0.892
137,,,0.488,0.892
138,,,0.488,0.9
139,,,0.496,0.9
140,,,0.496,0.904
141,,,0.508,0.904
142,,,0.508,0.908
143,,,0.512,0.908
144,,,0.512,0.912
145,,,0.516,0.912
146,,,0.516,0.916
147,,,0.528,0.916
148,,,0.528,0.92
149,,,0.548,0.92
150,,,0.548,0.924
151,,,0.612,0.924
152,,,0.612,0.928
153,,,0.628,0.928
154,,,0.628,0.936
155,,,0.64,0.936
156,,,0.64,0.94
157,,,0.656,0.94
158,,,0.656,0.944
159,,,0.668,0.944
160,,,0.668,0.948
161,,,0.672,0.948
162,,,0.672,0.952
163,,,0.68,0.952
164,,,0.68,0.956
165,,,0.732,0.956
166,,,0.732,0.96
167,,,0.756,0.96
168,,,0.756,0.964
169,,,0.764,0.964
170,,,0.764,0.968
171,,,0.772,0.968
172,,,0.772,0.972
173,,,0.776,0.972
174,,,0.776,0.976
175,,,0.792,0.976
176,,,0.792,0.98
177,,,0.832,0.98
178,,,0.832,0.984
179,,,0.94,0.984
180,,,0.94,0.988
181,,,0.964,0.988
182,,,0.964,0.992
183,,,0.992,0.992
184,,,0.992,1.0
185,,,1.0,1.0
